"('Date', '')","('Price', 'AAPL')","('Type', '')","('Ticker', '')",Date,Price,Type,Ticker
,,,,2025-08-21,225.55879287719728,Predicted,AAPL
,,,,2025-08-22,226.12291900634764,Predicted,AAPL
,,,,2025-08-23,225.84240631103515,Predicted,AAPL
,,,,2025-08-24,224.45116729736327,Predicted,AAPL
,,,,2025-08-25,226.84870346069337,Predicted,AAPL
,,,,2025-08-26,225.5932974243164,Predicted,AAPL
,,,,2025-08-27,225.17015350341796,Predicted,AAPL
2023-08-22,175.51087951660156,Historical,AAPL,,,,
2023-08-23,179.36314392089844,Historical,AAPL,,,,
2023-08-24,174.6691436767578,Historical,AAPL,,,,
2023-08-25,176.87747192382812,Historical,AAPL,,,,
2023-08-28,178.4421844482422,Historical,AAPL,,,,
2023-08-29,182.3340301513672,Historical,AAPL,,,,
2023-08-30,185.82980346679688,Historical,AAPL,,,,
2023-08-31,186.04766845703125,Historical,AAPL,,,,
2023-09-01,187.6222686767578,Historical,AAPL,,,,
2023-09-05,187.85987854003906,Historical,AAPL,,,,
2023-09-06,181.1357879638672,Historical,AAPL,,,,
2023-09-07,175.8376922607422,Historical,AAPL,,,,
2023-09-08,176.45166015625,Historical,AAPL,,,,
2023-09-11,177.62022399902344,Historical,AAPL,,,,
2023-09-12,174.58990478515625,Historical,AAPL,,,,
2023-09-13,172.5201873779297,Historical,AAPL,,,,
2023-09-14,174.0353546142578,Historical,AAPL,,,,
2023-09-15,173.31240844726562,Historical,AAPL,,,,
2023-09-18,176.24368286132812,Historical,AAPL,,,,
2023-09-19,177.33303833007812,Historical,AAPL,,,,
2023-09-20,173.7877655029297,Historical,AAPL,,,,
2023-09-21,172.24288940429688,Historical,AAPL,,,,
2023-09-22,173.09454345703125,Historical,AAPL,,,,
2023-09-25,174.37203979492188,Historical,AAPL,,,,
2023-09-26,170.2919921875,Historical,AAPL,,,,
2023-09-27,168.77682495117188,Historical,AAPL,,,,
2023-09-28,169.0343475341797,Historical,AAPL,,,,
2023-09-29,169.54928588867188,Historical,AAPL,,,,
2023-10-02,172.0646209716797,Historical,AAPL,,,,
2023-10-03,170.72772216796875,Historical,AAPL,,,,
2023-10-04,171.9755096435547,Historical,AAPL,,,,
2023-10-05,173.21339416503906,Historical,AAPL,,,,
2023-10-06,175.76837158203125,Historical,AAPL,,,,
2023-10-09,177.25381469726562,Historical,AAPL,,,,
2023-10-10,176.65960693359375,Historical,AAPL,,,,
2023-10-11,178.0559539794922,Historical,AAPL,,,,
2023-10-12,178.95713806152344,Historical,AAPL,,,,
2023-10-13,177.1151580810547,Historical,AAPL,,,,
2023-10-16,176.98643493652344,Historical,AAPL,,,,
2023-10-17,175.43165588378906,Historical,AAPL,,,,
2023-10-18,174.1343536376953,Historical,AAPL,,,,
2023-10-19,173.75807189941406,Historical,AAPL,,,,
2023-10-20,171.2030792236328,Historical,AAPL,,,,
2023-10-23,171.3218994140625,Historical,AAPL,,,,
2023-10-24,171.7576446533203,Historical,AAPL,,,,
2023-10-25,169.4403533935547,Historical,AAPL,,,,
2023-10-26,165.27117919921875,Historical,AAPL,,,,
2023-10-27,166.58828735351562,Historical,AAPL,,,,
2023-10-30,168.63819885253906,Historical,AAPL,,,,
2023-10-31,169.11355590820312,Historical,AAPL,,,,
2023-11-01,172.28250122070312,Historical,AAPL,,,,
2023-11-02,175.8475799560547,Historical,AAPL,,,,
2023-11-03,174.9364776611328,Historical,AAPL,,,,
2023-11-06,177.49148559570312,Historical,AAPL,,,,
2023-11-07,180.05636596679688,Historical,AAPL,,,,
2023-11-08,181.115966796875,Historical,AAPL,,,,
2023-11-09,180.64065551757812,Historical,AAPL,,,,
2023-11-10,184.83511352539062,Historical,AAPL,,,,
2023-11-13,183.24856567382812,Historical,AAPL,,,,
2023-11-14,185.8664093017578,Historical,AAPL,,,,
2023-11-15,186.4315948486328,Historical,AAPL,,,,
2023-11-16,188.1173553466797,Historical,AAPL,,,,
2023-11-17,188.0974884033203,Historical,AAPL,,,,
2023-11-20,189.84271240234375,Historical,AAPL,,,,
2023-11-21,189.03952026367188,Historical,AAPL,,,,
2023-11-22,189.7039031982422,Historical,AAPL,,,,
2023-11-24,188.37515258789062,Historical,AAPL,,,,
2023-11-27,188.1966552734375,Historical,AAPL,,,,
2023-11-28,188.801513671875,Historical,AAPL,,,,
2023-11-29,187.7801971435547,Historical,AAPL,,,,
2023-11-30,188.35531616210938,Historical,AAPL,,,,
2023-12-01,189.63450622558594,Historical,AAPL,,,,
2023-12-04,187.83969116210938,Historical,AAPL,,,,
2023-12-05,191.79620361328125,Historical,AAPL,,,,
2023-12-06,190.7054443359375,Historical,AAPL,,,,
2023-12-07,192.63905334472656,Historical,AAPL,,,,
2023-12-08,194.0669708251953,Historical,AAPL,,,,
2023-12-11,191.55821228027344,Historical,AAPL,,,,
2023-12-12,193.0753631591797,Historical,AAPL,,,,
2023-12-13,196.2980499267578,Historical,AAPL,,,,
2023-12-14,196.4468231201172,Historical,AAPL,,,,
2023-12-15,195.91136169433594,Historical,AAPL,,,,
2023-12-18,194.24545288085938,Historical,AAPL,,,,
2023-12-19,195.28665161132812,Historical,AAPL,,,,
2023-12-20,193.1943359375,Historical,AAPL,,,,
2023-12-21,193.04559326171875,Historical,AAPL,,,,
2023-12-22,191.9746856689453,Historical,AAPL,,,,
2023-12-26,191.42930603027344,Historical,AAPL,,,,
2023-12-27,191.5284423828125,Historical,AAPL,,,,
2023-12-28,191.95484924316406,Historical,AAPL,,,,
2023-12-29,190.91366577148438,Historical,AAPL,,,,
2024-01-02,184.0814971923828,Historical,AAPL,,,,
2024-01-03,182.70318603515625,Historical,AAPL,,,,
2024-01-04,180.3828125,Historical,AAPL,,,,
2024-01-05,179.65895080566406,Historical,AAPL,,,,
2024-01-08,184.00218200683594,Historical,AAPL,,,,
2024-01-09,183.58570861816406,Historical,AAPL,,,,
2024-01-10,184.6268768310547,Historical,AAPL,,,,
2024-01-11,184.0319061279297,Historical,AAPL,,,,
2024-01-12,184.35916137695312,Historical,AAPL,,,,
2024-01-16,182.08837890625,Historical,AAPL,,,,
2024-01-17,181.14634704589844,Historical,AAPL,,,,
2024-01-18,187.04638671875,Historical,AAPL,,,,
2024-01-19,189.95181274414062,Historical,AAPL,,,,
2024-01-22,192.2622528076172,Historical,AAPL,,,,
2024-01-23,193.54141235351562,Historical,AAPL,,,,
2024-01-24,192.8671112060547,Historical,AAPL,,,,
2024-01-25,192.53990173339844,Historical,AAPL,,,,
2024-01-26,190.8045654296875,Historical,AAPL,,,,
2024-01-29,190.12037658691406,Historical,AAPL,,,,
2024-01-30,186.46136474609375,Historical,AAPL,,,,
2024-01-31,182.85191345214844,Historical,AAPL,,,,
2024-02-01,185.29124450683594,Historical,AAPL,,,,
2024-02-02,184.28977966308594,Historical,AAPL,,,,
2024-02-05,186.1043701171875,Historical,AAPL,,,,
2024-02-06,187.7107696533203,Historical,AAPL,,,,
2024-02-07,187.81983947753906,Historical,AAPL,,,,
2024-02-08,186.739013671875,Historical,AAPL,,,,
2024-02-09,187.5034942626953,Historical,AAPL,,,,
2024-02-12,185.8156280517578,Historical,AAPL,,,,
2024-02-13,183.72067260742188,Historical,AAPL,,,,
2024-02-14,182.83702087402344,Historical,AAPL,,,,
2024-02-15,182.54910278320312,Historical,AAPL,,,,
2024-02-16,181.01014709472656,Historical,AAPL,,,,
2024-02-20,180.26548767089844,Historical,AAPL,,,,
2024-02-21,181.02008056640625,Historical,AAPL,,,,
2024-02-22,183.05545043945312,Historical,AAPL,,,,
